obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""449.1400""","=""0.0003""","=""449.139722""","=""0.000020""","=""130""","=""1.9e+05""",C,"=""23031.2829""","=""45289.8248""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""",,"=""T7589""","=""L18349c139""",
"=""""","=""""","=""449.263534""","=""0.000012""","=""""","=""5.61e-02""",C+,"=""384.7872""","=""22637.1950""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""",M1,"=""T6677""","=""""",
"=""449.3525""","=""0.0002""","=""449.352080""","=""0.000022""","=""130""","=""9.e+05""",D+,"=""63876.325""","=""86124.348""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""","=""3d6.(5D).4d""","=""e 4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""449.56867""","=""0.00019""","=""449.568906""","=""0.000020""","=""21""","=""""",,"=""90638.823""","=""112876.116""","=""3d6.(5D).5p""","=""4D*""","=""5/2""","=""3d6.(5D).7s""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
"=""449.8712""","=""0.0007""","=""449.870506""","=""0.000020""","=""50""","=""""",,"=""63272.981""","=""85495.366""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""","=""3d6.(5D).4d""","=""6S""","=""5/2""",,"=""""","=""L18349c139""",
"=""450.12700""","=""0.00013""","=""450.126966""","=""0.000020""","=""32""","=""""",,"=""90397.873""","=""112607.597""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""450.1675""","=""0.0004""","=""450.167262""","=""0.000022""","=""15""","=""""",,"=""86599.791""","=""108807.527""","=""3d6.(5D).4d""","=""e 4F""","=""5/2""","=""3d6.(3P2).5p""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
"=""450.3932""","=""0.0003""","=""450.39244""","=""0.00003""","=""5""","=""""",,"=""100749.825""","=""122946.458""","=""3d6.(3F2).5s""","=""e 2F""","=""5/2""","=""3d6.(3H<6>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
"=""450.76253""","=""0.00012""","=""450.763229""","=""0.000024""","=""70""","=""""",,"=""84685.245""","=""106863.620""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D).6p""","=""4D*""","=""7/2""",,"=""""","=""L18349c145""",
"=""450.82805""","=""0.00009""","=""450.828023""","=""0.000020""","=""330""","=""7.e+05""",D,"=""23031.2829""","=""45206.4704""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""450.960545""","=""0.000014""","=""""","=""5.2e-02""",C,"=""862.6118""","=""23031.2829""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",M1,"=""T6677""","=""""",
"=""451.1417""","=""0.0003""","=""451.141383""","=""0.000020""","=""13bl(Ne)""","=""""",,"=""91070.566""","=""113230.351""","=""3d6.(5D).5p""","=""4F*""","=""5/2""","=""3d6.(5D).7s""","=""6D""","=""3/2""",,"=""""","=""L18349c148""",
"=""451.45629""","=""0.00012""","=""451.45629""","=""0.00005""","=""80""","=""""",,"=""83305.229""","=""105449.557""","=""3d6.(1F).4p""","=""v 2G*""","=""7/2""","=""3d6.(5D).5d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""451.490238""","=""0.000010""","=""""","=""6.00e-02""",C+,"=""667.6829""","=""22810.3459""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""",M1,"=""T6677""","=""""",
"=""451.5254""","=""0.0006""","=""451.526230""","=""0.000023""","=""6""","=""""",,"=""92329.905""","=""114470.803""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""5/2""","=""3d6.(5D).6d""","=""114470""","=""5/2""",,"=""""","=""L18349c139""",
"=""451.53344""","=""0.00011""","=""451.533313""","=""0.000021""","=""250""","=""2.4e+05""",C,"=""22939.3512""","=""45079.9019""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""",,"=""T7589""","=""L18349c139""",
"=""452.02214""","=""0.00019""","=""452.021831""","=""0.000021""","=""270""","=""1.0e+05""",D,"=""22637.1950""","=""44753.8179""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""452.26278""","=""0.00005""","=""452.262775""","=""0.000021""","=""600bl(Ne)""","=""8.4e+05""",C,"=""22939.3512""","=""45044.1916""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""",,"=""T7589""","=""L18349c148""",
"=""452.3912""","=""0.0013""","=""452.39156""","=""0.00014""","=""10""","=""""",,"=""86543.902""","=""108642.450""","=""3d6.(3P1).4p""","=""v 4D*""","=""3/2""","=""3d6.(3G).4d""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
